SITE_ID,SITE_NAME,FLUXNET2015,FLUXNET-CH4,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
US-Prr,Poker Flat Research Range Black Spruce Forest,CC-BY-4.0,,65.1237,-147.4876,210,ENF,-2,275
US-SRC,Santa Rita Creosote,CC-BY-4.0,,31.9083,-110.8395,950,OSH,22,330
US-SRG,Santa Rita Grassland,CC-BY-4.0,,31.7894,-110.8277,1291,GRA,17,420
US-SRM,Santa Rita Mesquite,CC-BY-4.0,,31.8214,-110.8661,1120,WSA,17.92,380
US-Snd,Sherman Island,,CC-BY-4.0,38.0366,-121.754,-5,GRA,15.6,358
US-Sne,Sherman Island Restored Wetland,,CC-BY-4.0,38.0369,-121.7547,-5,GRA,16.09,311
US-Srr,Suisun marsh - Rush Ranch,,CC-BY-4.0,38.2006,-122.0264,8,WET,15.1,326
US-StJ,St Jones Reserve,,CC-BY-4.0,39.0882,-75.4372,6.7,WET,13.5,1121
US-Sta,Saratoga,CC-BY-4.0,,41.3966,-106.8024,2069,OSH,5.1,
US-Syv,Sylvania Wilderness Area,CC-BY-4.0,,46.242,-89.3477,540,MF,3.81,826
US-Ton,Tonzi Ranch,CC-BY-4.0,,38.4309,-120.966,177,WSA,15.8,559
US-Tw1,Twitchell Wetland West Pond,CC-BY-4.0,CC-BY-4.0,38.1074,-121.6469,-5,WET,15.5,421
US-Tw2,Twitchell Corn,CC-BY-4.0,,38.0969,-121.6365,-5,CRO,15.5,421
US-Tw3,Twitchell Alfalfa,CC-BY-4.0,CC-BY-4.0,38.1152,-121.6469,-4,CRO,15.6,421
US-Tw4,Twitchell East End Wetland,CC-BY-4.0,CC-BY-4.0,38.1027,-121.6413,-5,WET,15.6,421
US-Tw5,East Pond Wetland,,CC-BY-4.0,38.1072,-121.6426,-5,WET,15.5,421
US-Twt,Twitchell Island,CC-BY-4.0,CC-BY-4.0,38.1087,-121.6531,-7,CRO,15.6,421
US-UMB,Univ. of Mich. Biological Station,CC-BY-4.0,,45.5598,-84.7138,234,DBF,5.83,803
US-UMd,UMBS Disturbance,CC-BY-4.0,,45.5625,-84.6975,239,DBF,5.83,803
US-Uaf,"University of Alaska, Fairbanks",,CC-BY-4.0,64.8663,-147.8555,155,ENF,-2.9,263
US-Var,Vaira Ranch- Ione,CC-BY-4.0,,38.4133,-120.9508,129,GRA,15.8,559
US-WCr,Willow Creek,CC-BY-4.0,,45.8059,-90.0799,520,DBF,4.02,787
US-WPT,Winous Point North Marsh,CC-BY-4.0,CC-BY-4.0,41.4646,-82.9962,175,WET,10.1,849
US-Whs,Walnut Gulch Lucky Hills Shrub,CC-BY-4.0,,31.7438,-110.0522,1370,OSH,17.6,320
US-Wi0,Young red pine (YRP),CC-BY-4.0,,46.6188,-91.0814,349,ENF,,
US-Wi1,Intermediate hardwood (IHW),CC-BY-4.0,,46.7305,-91.2329,352,DBF,,
US-Wi2,Intermediate red pine (IRP),CC-BY-4.0,,46.6869,-91.1528,395,ENF,,
US-Wi3,Mature hardwood (MHW),CC-BY-4.0,,46.6347,-91.0987,411,DBF,,
US-Wi4,Mature red pine (MRP),CC-BY-4.0,,46.7393,-91.1663,352,ENF,,
US-Wi5,Mixed young jack pine (MYJP),CC-BY-4.0,,46.6531,-91.0858,353,ENF,,
US-Wi6,Pine barrens #1 (PB1),CC-BY-4.0,,46.6249,-91.2982,371,OSH,,
US-Wi7,Red pine clearcut (RPCC),CC-BY-4.0,,46.6491,-91.0693,335,OSH,,
